# delta, theta, r squared
0.0000,0.7680,0.0202
4.3721,0.3180,0.0345
0.2377,0.1845,0.0001
0.0135,0.0000,0.0033
0.1276,0.0000,0.0069
0.0000,0.0000,0.0091
0.0811,0.0000,0.0003
0.4020,0.0000,0.4640
0.0000,0.0000,0.0026
0.0000,0.0000,0.0013
0.0067,0.0000,0.0143
0.0000,0.0000,0.0609
0.6654,0.0000,0.4626
0.3810,0.0000,0.0006
0.0000,0.0000,0.0012
1.5408,0.0000,0.0108
0.0000,0.0000,0.1136
0.0235,0.0000,0.1939
0.0000,0.0000,0.0091
0.1944,0.0000,0.0002
0.0000,0.0000,0.1028
0.0000,0.0000,0.0105
0.0000,0.0000,0.0143
0.0773,0.0000,0.1295
0.0000,0.9000,0.0111
0.0345,0.0000,0.0034
0.0000,0.0000,0.6448
0.0000,0.0000,0.1660
0.0566,0.0000,0.0138
0.0000,0.0000,0.5347
0.0000,0.6600,0.0062
0.0000,0.0000,0.4895
0.0408,0.0000,0.0351
0.0000,0.0000,0.0711
0.0000,0.0000,0.0007
0.0000,0.0000,0.0698
1.2340,0.0000,0.0002
0.0000,0.0000,0.0740
0.0000,0.0000,0.0409
0.0000,1.1700,0.0384
0.0000,0.0000,0.6855
0.1127,0.1806,0.0054
0.0000,0.0000,0.2241
0.0429,0.0000,0.6646
0.7646,0.6019,0.0010
0.0941,0.6492,0.0183
0.0565,0.1806,0.0007
0.0000,0.0000,0.0091
0.6521,0.0000,0.0191
0.1830,0.0000,0.4764
0.0000,0.0000,0.0005
0.0000,0.0000,0.0046
0.0000,0.0000,0.0848
0.0000,0.0000,0.0025
0.0000,0.0000,0.0000
0.0000,0.0000,0.0500
0.0000,0.0000,0.0002
0.1173,0.0000,0.0159
0.0000,0.0000,0.0002
0.3307,0.7140,0.0358
0.1035,0.0000,0.0047
0.4704,0.0000,0.0205
1.4160,0.0540,0.0084
0.5202,0.0000,0.0004
0.0000,0.0000,0.0711
0.0000,0.1806,0.0244
0.0135,0.1080,0.0332
0.0543,0.3780,0.0025
0.0000,0.0000,0.0240
0.0000,0.0000,0.0001
0.1958,0.0000,0.2794
0.8325,0.0000,0.0009
1.5883,0.0000,0.0054
0.1586,0.0000,0.0180
0.0000,0.0000,0.0386
0.0000,0.0000,0.0004
0.0000,0.0000,0.0090
0.3084,0.0540,0.0061
0.0000,0.6150,0.0282
0.0000,0.2376,0.0104
0.0000,0.0000,0.0145
0.0000,0.0000,0.0166
0.0000,0.0000,0.0281
0.0000,0.0000,0.0001
1.6744,0.1339,0.0070
0.0000,0.0000,0.0620
0.5008,0.0000,0.0283
0.0000,0.0000,0.2781
0.0000,0.0000,0.6670
0.0000,0.2700,0.0122
0.9020,0.0000,0.0017
0.0000,0.0000,0.0017
0.0000,0.0000,0.0031
0.0000,0.0000,0.0019
0.0000,0.0000,0.0089
0.3758,0.0000,0.0126
0.0450,0.2376,0.0345
0.0000,0.0000,0.0071
0.0000,0.0000,0.6689
0.1482,0.0000,0.0011
