# delta, theta, r squared
117.8340,0.1040,0.8897
60.3015,0.0000,0.8783
105.8550,0.0000,0.8792
79.6630,0.0000,0.8721
90.1398,0.0000,0.8601
117.3548,0.0000,0.8785
78.7386,0.0000,0.8752
79.6630,0.0000,0.8510
87.3666,0.0000,0.8678
100.3084,0.0000,0.8934
58.7309,0.0000,0.8339
117.3548,0.0000,0.8730
117.3548,0.0000,0.8754
128.2260,0.0000,0.8868
89.4742,0.0000,0.8710
109.3678,0.0000,0.8815
78.7386,0.0000,0.8677
78.7386,0.0000,0.8637
96.7956,0.0000,0.8771
60.7638,0.0000,0.8490
89.4742,0.0000,0.8678
109.3678,0.0000,0.8946
82.5904,0.0000,0.8829
89.4742,0.0000,0.8932
73.5619,0.0000,0.8669
82.5904,0.0000,0.8689
78.7386,0.0000,0.8663
102.7119,0.0000,0.8666
89.4742,0.0000,0.8710
105.8550,0.0000,0.8855
87.3666,0.0000,0.8757
80.6645,0.0000,0.8688
100.3084,0.0000,0.8695
100.3084,0.0000,0.8571
87.2172,0.0000,0.8864
67.8253,0.0000,0.8599
106.0399,0.0000,0.8820
74.1165,0.0000,0.8743
128.2260,0.0000,0.8920
132.4413,0.0000,0.8797
95.6863,0.0000,0.8724
82.5904,0.0000,0.8701
100.3084,0.0000,0.8706
104.9306,0.0000,0.8655
69.4944,0.0000,0.8542
82.5904,0.0000,0.8809
87.2125,0.0000,0.8770
109.3678,0.0000,0.8959
69.4944,0.0000,0.8611
64.6155,0.0000,0.8559
79.6630,0.0000,0.8650
109.3678,0.0000,0.8745
64.2945,0.2862,0.8445
82.5904,0.0000,0.8782
82.5904,0.0000,0.8751
73.5619,0.0000,0.8742
67.8253,0.0000,0.8569
127.1167,0.0000,0.8788
82.5904,0.0000,0.8780
87.2125,0.0000,0.8813
90.1398,0.0000,0.8556
100.3084,0.0000,0.8911
82.5904,0.0000,0.8746
71.8055,0.0000,0.8623
117.3548,0.0000,0.8983
109.3678,0.0000,0.8929
74.1165,0.0000,0.8488
87.2125,0.0000,0.8738
84.5933,0.0000,0.8659
74.1165,0.0000,0.8497
74.1165,0.0000,0.8637
87.3666,0.0000,0.8772
103.0817,0.2281,0.8779
153.7400,0.0000,0.8839
100.3084,0.0000,0.8730
105.8550,0.0000,0.8834
84.5933,0.0000,0.8776
96.7956,0.0000,0.8654
71.6771,0.0000,0.8667
113.3613,0.0000,0.8631
116.0236,0.0000,0.8854
100.3084,0.0000,0.8805
87.2125,0.0000,0.8673
82.5904,0.0000,0.8765
97.9974,0.0000,0.8726
93.4677,0.0000,0.8603
116.0236,0.0000,0.8942
100.3084,0.0000,0.8776
109.3678,0.0000,0.8752
69.4944,0.0000,0.8705
95.6863,0.0000,0.8803
100.3084,0.0000,0.8739
70.7141,0.2223,0.8536
82.5904,0.0000,0.8754
100.3084,0.0000,0.8687
95.6863,0.0000,0.8787
71.6771,0.0000,0.8666
87.2125,0.0000,0.8755
100.3084,0.2322,0.8758
86.4421,0.0000,0.8735
