# nonstationary level, time series length, observation noise, process noise, evidence, significance_level, bayes factor error
0, 50, 0.1, 0.10, 1.9837,0.3667,0.0067
1, 50, 0.1, 0.10, -4.0728,-1.5543,0.0000
2, 50, 0.1, 0.10, 1.8709,0.3500,0.0000
0, 100, 0.1, 0.10, -4.4920,-1.8132,0.0000
1, 100, 0.1, 0.10, 5.1204,0.6924,0.0000
2, 100, 0.1, 0.10, -2.6371,-0.8353,0.0000
0, 200, 0.1, 0.10, 2.7035,0.4634,0.0101
1, 200, 0.1, 0.10, -4.2660,-1.6706,0.0000
2, 200, 0.1, 0.10, 21.3663,0.9927,0.0000
0, 100, 0.0, 0.10, -3.6529,-1.3189,0.0000
1, 100, 0.0, 0.10, 18.4241,0.9856,0.0000
2, 100, 0.0, 0.10, 7.5100,0.8226,0.0000
0, 100, 0.1, 0.10, -4.7615,-1.9933,0.0007
1, 100, 0.1, 0.10, -3.1959,-1.0873,0.0001
2, 100, 0.1, 0.10, 5.0086,0.6844,0.0000
0, 100, 0.2, 0.10, -3.1020,-1.0427,0.4008
1, 100, 0.2, 0.10, 0.1818,0.0410,1.0797
2, 100, 0.2, 0.10, -0.8899,-0.2274,0.0111
0, 100, 0.3, 0.10, -1.2984,-0.3485,0.0273
1, 100, 0.3, 0.10, -1.8178,-0.5198,0.0004
2, 100, 0.3, 0.10, 0.2710,0.0605,0.0369
0, 100, 0.1, 0.00, -2.9900,-0.9907,0.0000
1, 100, 0.1, 0.00, 4.8210,0.6705,0.0000
2, 100, 0.1, 0.00, 4.7781,0.6672,0.0000
0, 100, 0.1, 0.10, -3.0353,-1.0115,0.0006
1, 100, 0.1, 0.10, -0.0087,-0.0020,0.0000
2, 100, 0.1, 0.10, 5.9184,0.7440,0.0000
0, 100, 0.1, 0.20, -2.5697,-0.8070,0.0000
1, 100, 0.1, 0.20, -5.1498,-2.2733,0.0000
2, 100, 0.1, 0.20, 5.9238,0.7444,0.0000
0, 50, 0.1, 0.10, -4.5674,-1.8625,0.0240
1, 50, 0.1, 0.10, -0.8459,-0.2150,0.0000
2, 50, 0.1, 0.10, -4.0448,-1.5380,0.0002
0, 100, 0.1, 0.10, -1.5312,-0.4227,0.0002
1, 100, 0.1, 0.10, -2.8272,-0.9174,0.0000
2, 100, 0.1, 0.10, 4.1305,0.6137,0.0000
0, 200, 0.1, 0.10, -5.5820,-2.6158,0.0000
1, 200, 0.1, 0.10, -2.2778,-0.6896,0.0000
2, 200, 0.1, 0.10, -0.7605,-0.1914,0.0000
0, 100, 0.0, 0.10, 2.8418,0.4802,0.0000
1, 100, 0.0, 0.10, 12.3110,0.9413,0.0000
2, 100, 0.0, 0.10, 108.3003,1.0000,0.0000
0, 100, 0.1, 0.10, -3.0402,-1.0138,0.0003
1, 100, 0.1, 0.10, -4.5085,-1.8239,0.0000
2, 100, 0.1, 0.10, 4.6909,0.6604,0.0000
0, 100, 0.2, 0.10, -2.7482,-0.8829,1.1944
1, 100, 0.2, 0.10, -2.2326,-0.6721,0.0262
2, 100, 0.2, 0.10, -2.9747,-0.9837,0.0078
0, 100, 0.3, 0.10, -1.2444,-0.3318,0.2121
1, 100, 0.3, 0.10, 0.0607,0.0139,0.0330
2, 100, 0.3, 0.10, 1.2608,0.2520,0.0505
0, 100, 0.1, 0.00, -4.1850,-1.6212,0.0000
1, 100, 0.1, 0.00, -1.3026,-0.3498,0.0001
2, 100, 0.1, 0.00, 8.6193,0.8626,0.0000
0, 100, 0.1, 0.10, -1.3973,-0.3795,0.0000
1, 100, 0.1, 0.10, -3.9813,-1.5011,0.0000
2, 100, 0.1, 0.10, -0.0543,-0.0126,0.0000
0, 100, 0.1, 0.20, -5.0827,-2.2231,0.0394
1, 100, 0.1, 0.20, -1.8726,-0.5391,0.0000
2, 100, 0.1, 0.20, -1.1030,-0.2891,0.0000
