96,0,-18.171280352025455,0.015007382109848755,1.3986413042192586e-15,0.20449020865171663
96,12,-16.158095163406138,0.023648132227923946,6.332091246512566e-17,1.0619754439808167
96,24,-14.442745703137845,0.034704493793899775,3.6382162944602126e-16,2.112348318183034
96,36,-13.469214363427916,0.04304949294785545,2.651173995563593e-09,2.127092269274598
96,48,-17.996846301233628,0.015612818804586252,4.217588365808829e-10,0.24639883962245818
96,0,-18.171280352025455,0.015007382109848755,1.3986413042192586e-15,0.20449020865171663
96,12,-16.158095163406138,0.023648132227923946,6.332091246512566e-17,1.0619754439808167
96,24,-14.442745703137845,0.034704493793899775,3.6382162944602126e-16,2.112348318183034
96,36,-13.469214363427916,0.04304949294785545,2.651173995563593e-09,2.127092269274598
96,48,-17.996846301233628,0.015612818804586252,4.217588365808829e-10,0.24639883962245818
96,0,-18.171280352025455,0.015007382109848755,1.3986413042192586e-15,0.20449020865171663
96,12,-16.158095163406138,0.023648132227923946,6.332091246512566e-17,1.0619754439808167
