# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, CENTROPAGES
8.369440435547015333e-01,-1.534766635245800259e+00,2.717934428792360135e-01,1.180340279424629824e+00
1.916846046344557353e+00,-1.120855001750741042e+00,3.795882342885034122e-01,1.267659039276172184e+00
6.018628875830739355e-01,-4.257105606679069121e-01,1.608895277005735425e+00,2.043329395582867414e-01
2.572798713869711706e-01,1.334686381955869638e+00,4.731377980428196073e-02,-4.950163018034481888e-01
3.294667197950446602e-01,7.443918313712526331e-03,4.266373238657291123e-01,-5.511264986283337386e-01
-1.017954488572559324e+00,-1.083086421701976665e+00,-6.204926810433440965e-01,-7.984712206828235015e-01
-3.487036738150593451e-01,-5.400797002392187379e-02,-9.018297577924805353e-01,-7.984712206828235015e-01
-7.471902839069313185e-01,-4.476235496339064368e-01,-7.926966802322524819e-01,-7.984712206828235015e-01
-1.731566905030438031e-01,-3.480577626193285257e-01,-9.573050117030901252e-01,-7.984712206828235015e-01
-1.180831474570893658e+00,-1.239072525477402875e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
1.860045570079284782e-01,-4.242304841177999553e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-3.617482751461633117e-01,-5.543904801991242914e-01,-7.280599185786883476e-01,-5.498594304013847411e-01
1.072658951732022636e+00,-1.098487012336307744e+00,-4.997687125712399481e-01,3.606802779533654912e-01
6.900909612792809344e-01,-1.157682714348403863e+00,1.463590226849669496e-01,-3.184788137037367628e-01
2.248925031957417886e+00,-6.934205958933891134e-01,9.576357060944383770e-01,8.849862902250218433e-01
4.706238088278994702e+00,-4.934290188737966987e-01,1.727956552272575053e+00,9.300097370631295046e-01
7.034421658846787828e-01,7.401439888825901425e-01,4.343513105560105059e-01,-7.984712206828235015e-01
4.267515207197001420e-02,-1.531882808164378162e-01,-3.086362607924404422e-01,-7.984712206828235015e-01
2.985339047554594893e-01,1.432791879530631807e+00,-3.672722187155735840e-01,-7.984712206828235015e-01
-3.671767617907513714e-01,1.867374933828303829e-01,-8.999994776831571341e-01,-7.984712206828235015e-01
-6.036730275178585625e-01,-4.337918768748164622e-01,-7.693088840973919540e-01,-7.984712206828235015e-01
-6.172601836850385437e-01,-3.685333386890872753e-01,-7.859942454729861305e-01,-5.634385473266598776e-01
-3.465148002161705931e-01,-6.770743098879788979e-02,-4.681209535069254524e-01,6.197420844384542438e-01
2.378367671048966792e-01,4.701847408867762534e-01,-2.923253509060926847e-01,3.075120492717964726e+00
5.428565785723944437e-01,-1.479644901165983462e-01,2.443394831184274807e+00,1.760236852792474327e+00
3.477635377912615677e-01,-1.972073278918578254e-01,8.931522411098543612e-01,2.588620343509493882e+00
1.741063437060069941e+00,-2.657007634555083042e-01,2.533771170479461432e+00,3.246602692669281698e+00
1.214499692060536429e+00,1.006668753167129671e+00,4.845267992707843474e-01,5.419067831560205883e-01
4.264588648241284807e-01,1.034902395459951885e+00,9.172390608865728101e-01,-3.301930013375997675e-01
7.376568748879740456e-01,3.852868484353416667e-02,3.487583762754830063e-01,-1.540395991761193961e-01
nan,nan,nan,nan
-9.844064550877327235e-01,4.223011412542295728e-01,-6.573804074869650238e-01,-5.575921342606426911e-01
-1.078730885301472320e+00,2.883049672084728177e-01,-1.103218559055642034e+00,-5.153656980469222271e-01
-3.077440714494418805e-01,-1.159762419847960441e-01,-5.654368355791041800e-01,-3.078325259011006065e-01
2.557916130597729376e-01,1.086402499773165969e-01,-6.018045355921366468e-01,4.607889889158530566e-02
8.510258803169097330e-01,5.073855170364554024e-01,4.180026891346131923e-01,1.826081043823244432e+00
1.022081292230013316e+00,3.932981987304209337e-01,1.484177324300103518e+00,1.838467184644742014e+00
1.880777504414220813e-01,-2.494733030808259089e-01,9.624023201638209901e-01,1.309459380637298720e+00
5.770313732412468699e-01,-1.534766635245800259e+00,1.620056022289104725e+00,6.912806973896331586e-01
9.767133366588122145e-01,1.150145763387326603e-01,1.508414719569390883e+00,3.322253045629189883e-01
9.064114080414644725e-01,-1.013211258903518708e+00,5.057467504393526880e-01,3.994230040786717756e-02
-7.432490540551194014e-02,6.232037579761166013e-01,5.077181622298171382e-01,4.659171282922568436e-01
-7.869949613822857515e-01,3.045555594236644126e-01,-2.250246979010152304e-01,-7.984712206828235015e-01
-1.516792412454753158e+00,-8.603386191136583871e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-7.603615333475419735e-01,1.208270456168269558e+00,-1.103218559055642034e+00,-3.862477004705683892e-01
-1.049209008731419646e+00,4.313329700599065064e-01,-4.737460763886233717e-01,-1.878384231198106658e-01
-7.412042616320798638e-01,9.904781419579750112e-01,-6.754871527124918229e-01,1.500265036791990358e-01
-9.852025409150788615e-01,5.827758105260432142e-01,-5.019772406241749252e-01,-2.971678370585358331e-01
5.054452712805358461e-01,-1.102290594926972789e+00,1.181283362350133564e-01,1.755767883031405185e+00
1.560324217581619877e+00,3.893770331634348048e-01,1.206943954421622500e+00,3.984639252291924283e+00
6.525764383838219551e-01,-4.856454443564371393e-01,6.635273773373095985e-01,1.211231746619579441e+00
2.342423892157265986e-01,5.314285891898355985e-01,4.280826773959343634e-01,6.277757121537297369e-02
8.007581212492993761e-02,9.448006153790200479e-01,9.233218662938387222e-01,-3.956619483689978733e-01
-9.210176356895410921e-01,-1.133276708096627283e+00,-3.559477428799605603e-01,-6.651665892987117523e-01
nan,nan,nan,nan
-1.234952736356727865e+00,5.321623415767348098e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.439615521696439471e+00,-3.067084365178410765e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-8.949602334092631173e-01,2.979331720967926533e-01,-9.199843402861851427e-01,5.802239182455003474e-01
9.420301720230727094e-01,-7.562659294228576412e-01,-1.103218559055642034e+00,-3.507679961446020234e-01
1.430484835738586202e+00,8.597459828040332486e-01,-3.915659589808526131e-01,2.710003611690032788e-01
1.120971134092423771e+00,1.018335979792235557e+00,3.948899222019791044e-01,2.899083137850162473e+00
2.327245043968925842e+00,4.064542688778858409e-02,5.646546942008318255e-03,1.222737693037803330e+00
1.530837970451281116e+00,-9.484744466467924517e-02,1.292900569927245336e+00,1.747038784838867764e+00
-5.418021226591078765e-01,4.083537466575238861e-01,-2.690691095080958647e-02,-4.129641813053919891e-02
-1.006451895188434698e+00,-2.543562468391979414e-01,-3.724384806257350911e-01,-7.984712206828235015e-01
-7.355006707333400229e-01,3.439698882414091718e-01,-6.389401960014614579e-01,-7.984712206828235015e-01
-6.045078591186460182e-01,-2.180205298417558224e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-8.470564324403624390e-01,6.632455168080719776e-02,-1.103218559055642034e+00,-7.984712206828235015e-01
-9.386301434152672929e-01,1.100711130519097081e+00,-1.103218559055642034e+00,-1.847288875272718178e-01
-9.544444003545825561e-01,-1.126455767691798560e+00,-1.103218559055642034e+00,4.271449302990650704e-02
-7.878883673243011199e-01,4.602600964644010806e-01,-1.103218559055642034e+00,-3.571258263341738071e-02
-9.815103477304710777e-01,4.644244107465438920e-01,-1.103218559055642034e+00,1.211256796253202150e+00
-1.137537366009154338e+00,3.164982255897466623e-01,-1.103218559055642034e+00,-3.683656306202600650e-01
-8.725023365088266925e-01,3.116286296478992801e-01,-7.122250872182149806e-01,-1.671230526157757301e-01
-2.038908347477123573e-01,-1.365258902165772947e-01,8.740075372873844506e-01,9.318699522559459325e-01
9.824048431881242660e-01,-9.069814397438459297e-01,8.358158541631302008e-01,7.587492190387342683e-01
4.549173017864774349e-01,-3.092638988746293505e-01,8.189485420728537246e-01,-7.984712206828235015e-01
1.019642920726061483e-02,1.195896258361236253e+00,-6.936883808680894825e-01,-7.984712206828235015e-01
-8.177058351067840736e-01,-2.290266787879521870e-01,-5.653829563958604476e-01,-4.972453299323371656e-01
nan,nan,nan,nan
-9.300955927702667658e-01,-7.675204680125171652e-01,-8.945217747745883852e-01,-6.438469972856784018e-01
3.806540770441536603e-01,4.350189339534970001e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
3.484010691416177807e-01,1.160485230584308525e+00,-8.443620565564303737e-01,-5.284595790762183221e-01
-7.039887149105227282e-01,1.565557223519577601e+00,8.470325007559762476e-01,-2.919255450898282089e-01
1.857955440596404495e+00,-3.830490822909776161e-01,6.000011062165472309e-01,4.774834458842355800e-01
7.503533932788013505e-01,-1.239199832715711658e+00,5.235267409048403042e-01,7.818384264392224531e-03
4.901462253222008680e-01,-9.834076777424366478e-01,1.129241116446795479e+00,1.137765623870086035e-01
1.793046847251855702e+00,1.220756211914315603e+00,1.146947766293825444e+00,6.769969080171768239e-01
2.073995842969798553e-01,7.597888555188601067e-01,-2.950750049164994615e-01,-7.984712206828235015e-01
-3.217081348997849477e-01,4.845091342522632183e-01,-9.115322191425541121e-01,-7.984712206828235015e-01
-7.786025332353204709e-01,1.431758805207085095e-01,-9.090672821686091032e-01,-7.984712206828235015e-01
7.320994061192033220e-01,-6.690327323969245121e-01,-8.642074169787292703e-01,-7.984712206828235015e-01
-2.577276224862836140e-01,-1.534766635245800259e+00,-8.359247335095552067e-01,-7.984712206828235015e-01
1.501736879740099562e-01,1.678671328958294406e-01,-8.889067158597816487e-01,-4.095303601021353934e-01
3.956791594929607858e-01,-7.350860982950301326e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
8.771105116175796912e-01,-8.933415837812610505e-01,-5.023925713318125874e-01,-6.112660666466208231e-02
8.559504894730649571e-01,-9.460970070234148155e-02,6.675206757744800434e-01,1.950953692716650645e+00
3.346000666189002382e-01,2.690874151353301325e-01,1.667746996615236510e+00,1.489757388172536112e+00
9.084423419701033175e-01,1.547418506760612489e-01,4.448391741013532075e-01,1.313773860026718809e+00
3.931052161057769778e-01,7.861875332544775441e-01,1.544434444404375883e-01,8.840341277525957109e-01
-1.951556349189943196e-01,9.785181995202812955e-01,-8.289009936273342150e-02,-6.151227406950631194e-01
-1.012199647279709680e+00,1.182656077783804660e-01,-5.525090769817003755e-01,-6.542134106574529762e-01
-5.424725762859555767e-01,-1.098203823184781935e+00,-6.859062001855882329e-01,-7.984712206828235015e-01
nan,nan,nan,nan
-5.623191970032072329e-02,-1.026107597346838984e+00,-9.344481473489222312e-01,-6.433398523690467830e-01
6.671940747289040186e-01,1.217018778253212280e-01,-6.362681593583742190e-01,-3.154488809056669174e-01
5.409204910918115061e-01,-5.224461925323506950e-01,2.299070934095561736e-01,6.205810150929671476e-01
1.051180503007436151e+00,-1.227258563988437912e+00,7.057387574187633517e-01,2.501594220942537916e-01
9.954434016841610111e-01,-8.996319350501612577e-01,1.334324697517993874e+00,7.025938024703651807e-01
7.763751036306852926e-01,-7.560529694310260673e-01,1.064379061915194047e+00,7.184241305708887193e-01
1.598451419953524910e+00,-1.049408842044603718e+00,1.679084050969784858e+00,1.957691344645048626e-01
-6.343913337293968779e-02,4.717049005748477630e-02,3.996837609896166654e-01,6.200530348209010167e-01
2.893311960192632704e-01,1.359131240625460091e+00,6.269279626520004589e-01,6.094050660030345817e-02
-3.259294489374307546e-01,5.637630595770939390e-01,1.386699511173840327e-01,-5.235328391231063305e-01
-6.797588168784753915e-01,3.394654954367869182e-02,-3.562444789418999780e-01,-7.984712206828235015e-01
4.613106602239709642e-02,-9.418733122296962801e-01,-6.465748219569713573e-01,-7.984712206828235015e-01
-3.292258165472355391e-01,1.690563411407069450e-01,-7.527066148129286649e-01,-7.984712206828235015e-01
5.978334182729361235e-01,-2.829779411340680451e-01,-8.283720723218921389e-01,-7.984712206828235015e-01
9.898487025524813077e-02,-6.653965773878625090e-01,-7.681970180036587492e-02,3.315415919663298183e-01
4.906916324248656869e-01,2.104946000790393512e+00,7.712871322034988708e-01,5.450809108804565151e-01
7.880406791861567228e-01,1.183447764207347541e+00,9.873858837242264208e-01,1.598081707637631466e+00
2.162432146948376488e-01,-5.827928083906369627e-01,4.039345574044919118e-01,1.561085255593454235e+00
1.160391685082307500e+00,3.575314149879516568e-01,1.961470345631397327e+00,2.190018062193936021e+00
1.853019928492797563e-01,3.968535721122188331e-01,4.481078863887409391e-01,3.083012095582122192e-01
-3.117596032063137956e-01,1.068585701344386241e+00,4.477474958400398108e-01,-7.984712206828235015e-01
-8.273430061291906501e-01,-3.323118023657089526e-01,4.106056168033412335e-01,-5.717264814867549783e-01
-6.927094473695009080e-01,-4.294656638703314711e-01,-9.023286845966226044e-02,-2.996699063045728528e-01
nan,nan,nan,nan
-9.587962738921066430e-01,1.828749518735919510e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-6.389799327232986714e-01,-2.864727407235522771e-01,-8.979733612016724820e-01,-5.834161056331070849e-01
-9.624709083546431065e-01,-1.119056485734867712e+00,-9.289562498908547905e-01,-3.901845152215428492e-01
7.205315792409715536e-01,3.257982451874115171e-01,-3.090883137530438529e-01,4.978570472298020633e-01
1.709727642332358633e+00,-3.106534712127997921e-01,5.989572999801496822e-01,7.981915188667249028e-01
9.954095466858745578e-01,-5.994831652564963642e-01,7.662705855541456224e-01,1.139365363896520211e+00
9.665869904489476916e-01,1.543586072612021243e-01,2.021303386023566517e+00,1.968565919814470488e+00
7.617847312956909089e-01,7.759538698629299125e-01,1.427914037545874537e+00,8.836895950920806708e-01
-2.393981212316114160e-01,-8.773269116740468609e-01,1.774754606182059047e-01,-1.895168327843817224e-01
-4.567337329469060014e-01,-1.534766635245800259e+00,-4.399068948419871949e-01,-4.803210967236539730e-01
nan,nan,nan,nan
-1.657112861345925725e-01,-2.770574917944969018e-01,-8.110432972072862956e-01,-7.984712206828235015e-01
3.301141644102104089e-02,-5.379356446312371087e-01,-9.279409138348718722e-01,-5.387435026272726635e-01
9.345416620143297548e-01,4.118387104663227549e-01,1.561829899454082904e+00,-7.984712206828235015e-01
4.250026343052394351e-01,-8.445543423085195567e-01,1.291010819965245693e+00,-5.576014784919115508e-01
1.626658443003655696e+00,2.992632699514767292e-01,3.156022286638655028e-01,1.959293464476689062e-01
7.717055600771425272e-01,1.819779132209395633e-01,-3.023479142281708665e-01,-1.862827486133097343e-01
2.746985703848804916e-01,-1.534766635245800259e+00,1.564736576566547299e+00,4.356478372362881935e-01
-1.599620608522372145e-01,-1.534766635245800259e+00,6.081824080333066984e-01,2.181017588099000371e+00
-2.288850291778276452e-02,1.305480180533399592e-01,2.670005324093339905e+00,2.628239431934438763e-01
-5.609934765079979124e-01,-9.827588221873815311e-01,3.554331823963690073e-01,-7.984712206828235015e-01
-9.181177779942726325e-01,-7.406119753011602969e-01,-1.616262146879998696e-01,-7.984712206828235015e-01
-8.005152512641555695e-01,-3.595798220599050188e-01,-7.064616437574027241e-01,-7.984712206828235015e-01
-2.381623267486648876e-01,-7.787539362435247359e-01,-2.068493686597452641e-01,-7.984712206828235015e-01
3.352891239336888707e-01,-1.276458357258125065e-01,-2.955282811814045618e-01,-1.804249485305657597e-01
1.220463767649329290e+00,-7.682131071669473510e-01,2.810605210206897075e-02,1.717942449733363408e-01
1.217134327299457031e+00,-3.972953882782401247e-01,-5.925895887726306821e-01,-7.984712206828235015e-01
9.603626181339227630e-01,-3.810004716152786131e-01,-2.604447682004931708e-01,-2.795714057111187145e-01
1.643876743884921332e+00,-5.523255448483896934e-01,6.315490302548667501e-01,1.112933966598160795e+00
1.903398641313772455e+00,-1.534766635245800259e+00,2.465116979069401637e+00,3.933599889346410361e+00
1.316994190024735500e+00,-1.534766635245800259e+00,1.938142025005311186e+00,1.257205764976894624e+00
5.151671654116520838e-01,-7.783729372061254370e-01,8.881108068733032379e-01,2.324075327384837741e-01
1.757831374356149945e-01,9.126292299368866656e-01,5.538871906845018733e-01,-7.984712206828235015e-01
-1.087080139812928170e+00,1.192893228955225648e+00,-4.834193269740992838e-01,-7.984712206828235015e-01
-1.147860164490450474e+00,2.844728758849077166e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-9.168511957242282406e-01,1.747497629241234196e-01,-9.429784950178650149e-01,-7.984712206828235015e-01
-1.100435426204088074e+00,-1.185213312943351971e+00,-6.887693984700251626e-01,-4.223925803448977945e-01
-3.954107403077329885e-01,-1.115435632901117913e+00,-5.399508424303220977e-01,6.713575735966126334e-01
6.624275652902834599e-01,-5.845740425619989633e-01,-5.617801785127349845e-01,1.727886174652921158e-01
6.690420804865160331e-01,-1.534766635245800259e+00,1.000292989124673237e+00,4.462927210504390452e-01
2.568132862063995936e-01,1.750778118954435802e+00,2.174444011473961158e+00,1.821144267014286333e+00
7.079650270560498004e-01,-1.157803145391692157e+00,6.198419607128655695e-01,6.005049564108919657e-01
2.043978538696831659e+00,-8.062071263127500442e-01,1.289680842541860661e+00,2.212484261668913099e+00
6.175751332797231319e-01,1.680331709582042032e+00,1.168206515927943251e-01,9.964583021917677863e-02
-4.417940701332508380e-01,1.367041941415492845e+00,-2.442810073293289197e-01,-7.984712206828235015e-01
-5.090718213900125022e-01,2.037074259861070935e+00,-1.340970602831941527e-01,-4.245552661821485052e-01
-6.121305320751773138e-01,1.587540813680148322e+00,-8.260032275460547080e-01,-7.984712206828235015e-01
-1.021216863405822739e+00,-1.360995051520622168e+00,-6.425149766316660127e-01,-7.984712206828235015e-01
6.008777961307782967e-01,-8.349898225528924467e-01,1.044635288112445992e-01,-7.984712206828235015e-01
4.886359402225285975e-01,2.921200201915876704e-01,-2.019117443590902686e-02,-7.984712206828235015e-01
2.537066158017521889e-01,2.474944132489262719e-02,-1.248540346779099114e-01,-7.984712206828235015e-01
5.976312145315162416e-01,1.608915918483207197e-01,6.038690176674241794e-01,-2.368813788950438828e-02
1.109754239900841988e-01,-4.044018424357818664e-01,3.845991812256124853e-01,1.027917897699522465e+00
7.916550690009724889e-01,2.334046560780034529e-01,8.908615151534496901e-01,3.154087810925112922e+00
8.393441836586779115e-01,-1.534766635245800259e+00,1.567824674975791366e+00,2.911124709310019654e+00
7.846497597190342788e-01,1.527272896028332383e+00,8.659445112051056270e-01,1.002486132532166563e+00
1.283107948000701271e-01,-2.623313482789825860e-02,3.667242402245576294e-01,-5.020595323698472390e-01
-1.542793786595675121e+00,1.122210462270118336e+00,-9.259891340015182770e-01,-7.984712206828235015e-01
-1.489592998480523844e+00,5.935999139375588984e-02,-9.103128727728030389e-01,-7.984712206828235015e-01
-1.170402696150450561e+00,1.365862895564194490e+00,-1.103218559055642034e+00,-3.828992142857292058e-01
-1.406386425696285247e+00,-7.168981311214325247e-01,-1.103218559055642034e+00,2.228985872121014566e-01
-1.321281533143332076e+00,8.331562091642102583e-03,-1.103218559055642034e+00,-3.958269432776142516e-01
-9.130811167588998023e-01,8.355044628878950386e-01,-1.103218559055642034e+00,-4.320255201826524449e-01
-1.042395788369346654e+00,6.211266403637777378e-01,-4.359407639652291278e-01,3.802632539314481086e-01
-5.156782554999532753e-01,-4.130241395414632755e-02,9.020209768060455380e-01,3.018982258090359139e-01
-2.255681581804782621e-01,-2.635754819810445099e-02,1.783542464969015473e+00,1.236059455021806669e-01
3.493961239121685936e-02,1.718441353050527143e+00,1.568092096287471371e+00,-7.984712206828235015e-01
-1.498690678423197087e-01,1.158597664136525873e+00,-1.584517740205872438e-01,-7.984712206828235015e-01
-1.302366254487216546e+00,1.564257818852525350e+00,-8.252189329641225202e-01,-7.984712206828235015e-01
-1.641441038904646765e+00,-4.688540086119723505e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
nan,nan,nan,nan
-1.641441038904646765e+00,-1.037976580546792066e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.641441038904646765e+00,4.321776047403516507e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.641441038904646765e+00,1.935172429743057698e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.535186100753588523e+00,1.032541435512416061e+00,-1.103218559055642034e+00,-4.247206246792212259e-01
-1.641441038904646765e+00,2.481252859957256973e+00,-2.548230407438286105e-01,-5.472167566912523595e-01
-1.195964718765570423e+00,1.003495931812090625e+00,4.498869836132612932e-01,-4.538254447559313953e-01
-9.286630429329428837e-01,-4.863913730733124829e-01,-2.765396817401966079e-01,-7.984712206828235015e-01
-4.597874686588393489e-01,2.693115791859341732e-02,-4.311448192549408726e-02,-6.065313493521360400e-01
2.658443110030867529e-01,3.500822868327655435e+00,-5.974628257801999770e-02,-4.950189099520221903e-01
-6.046815384962777040e-01,3.642177102927083077e+00,8.398598644461621743e-02,-7.984712206828235015e-01
-1.529509952817163176e+00,2.919564523428415104e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.545852787509077064e+00,-1.304616124400119759e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.641441038904646765e+00,-1.534766635245800259e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.641441038904646765e+00,8.957512663978753897e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.641441038904646765e+00,9.315913461198948031e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.535872960024743605e+00,2.498429204210482202e-01,-1.103218559055642034e+00,-5.399477974538424707e-01
-1.524309766809962108e+00,-2.065776361146423878e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.430159314097867895e+00,-1.534766635245800259e+00,-1.293429629230061564e-02,-5.172328693659480336e-01
-2.784193493073266468e-01,-1.343582679709144800e+00,2.998113790592016326e-01,-8.324477956025889969e-02
5.602835689764372740e-01,-1.534766635245800259e+00,2.622799627158066027e+00,1.279847649573999879e+00
6.951834967363981210e-01,-1.534766635245800259e+00,1.491018478860622887e+00,-3.139971336476363728e-01
-1.022936706739815960e-01,3.165042255849405128e-01,1.924288976233581583e-01,-1.100553897811422238e-01
3.875333259885290205e-01,-1.534766635245800259e+00,4.862981786637384785e-01,-7.984712206828235015e-01
-1.086263385222395739e+00,-9.220881443829331836e-01,-7.602462966678684708e-01,-7.984712206828235015e-01
nan,nan,nan,nan
-9.844968617588290005e-01,3.935466349795689878e-01,-9.232301517164100968e-01,-6.689331549068494587e-01
-9.204585061283997449e-01,-3.290320510792223430e-01,-7.112549388862310362e-01,-5.529870868525939981e-02
-7.284276333684199800e-01,1.691741985011189012e-02,-4.087124224432173158e-01,6.046789517067804987e+00
6.722788204891162744e-02,-1.523245739415034772e-01,-5.790613176095739112e-01,1.462439410636534598e+00
7.375959372069794684e-01,-5.137163992234482501e-01,2.629161301833140008e-01,2.003960026227703750e+00
7.560076980874151920e-01,-1.179163278438252194e+00,7.740677116012871783e-01,2.487267717362236785e-01
7.678488451597175191e-01,-1.187861926295997295e+00,2.008897400836639591e+00,3.817826377678315564e-01
9.074477387875519163e-01,-2.468067128411106648e-01,1.481607836398267875e+00,-5.240627629968559464e-01
-7.857869742071369457e-01,7.180940007394374103e-01,-5.628753529473966288e-02,-3.535954691786138970e-02
-3.098582426371959686e-01,1.471240150080437958e+00,2.758498756921400563e+00,6.487507788408287679e-01
-2.445221785809719162e-01,-4.463366916084384739e-01,-8.965730364162352029e-01,-6.734619721624752753e-01
-1.392568664220298347e+00,3.291167634259029584e-01,-8.642209781399468049e-01,-7.984712206828235015e-01
-1.353062170823292165e+00,3.191606267277012909e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.204285483053150863e+00,6.934131299840782248e-01,-6.267749181249268053e-01,2.454629871532372498e-01
-9.849548444638734912e-01,-3.653885743887573256e-01,7.352279667887181569e-01,1.154656333374992183e+00
4.326534914497201512e-01,-3.648790530721505720e-01,7.722565044884391883e-01,1.925603063476657884e+00
1.821930603059918941e+00,-6.398856585087716597e-01,1.183685787512423371e+00,8.185345598775091158e-01
2.793946829482600869e+00,5.739438418468412184e-01,2.736484485078404916e+00,1.128086575393812074e+00
1.964189640491519562e+00,2.685302556872946056e+00,2.074754727358254058e+00,7.320644981146837704e-01
6.145637519393847004e-02,1.252937566995407703e+00,1.071995046245430572e-01,-5.078574606612513698e-01
-6.189952474605910915e-01,3.565861478401698648e+00,-5.692840578549717145e-01,-4.305762198074386538e-01
-5.149077062588922615e-01,1.228666880177997189e+00,-1.103218559055642034e+00,-4.387004177200093391e-01
5.330720059651290060e-02,3.752447218498606851e-01,-5.298531708178817468e-01,-5.297987044912840782e-01
nan,nan,nan,nan
