# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, CENTROPAGES
-1.308173459389752713e+00,2.794653594466187663e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-3.720693779379119492e-01,-1.300744455982200676e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
6.508151022056428703e-01,-6.241209168288515408e-02,3.932728269684476058e-02,-1.653520554170131163e-01
-9.934792560149201257e-02,-1.113377712308963208e+00,1.195817273020825106e-01,-1.463344551452286091e-01
8.618950208259517076e-01,-1.479128140394547070e-02,2.296504241192303564e+00,-1.429623866121960685e-01
2.825508526501087636e-01,1.796027550499226522e-01,2.755257223544219647e-01,-3.060017196344496093e-01
-5.314219066108788470e-01,-3.966776456196350331e-01,-4.840808623136250710e-01,-7.984712206828235015e-01
9.093988684160320135e-02,2.724918533124395248e-01,-9.358953522133687253e-01,-7.984712206828235015e-01
nan,nan,nan,nan
1.536723290533805186e-01,1.471989447516785510e-01,-1.103218559055642034e+00,-5.087034801236454129e-01
2.917688883491593166e-01,4.769469953236135096e-01,-1.103218559055642034e+00,-4.583733750939228968e-01
-3.292589395378568984e-01,9.994692391068787929e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
1.211094493507860692e+00,3.893917618380600132e-01,-8.161409805387984662e-01,-3.730775301054353732e-01
-5.521001334442512398e-01,6.834848001639720616e-03,-1.103218559055642034e+00,-4.688993037498311311e-01
2.889710980339093016e-01,4.242074518382132342e-01,-2.606072720215143468e-01,5.633338829668359526e-01
-4.110964592001295492e-01,1.024931211680823573e+00,4.295782863417317403e-03,3.051950279761701523e-01
-1.032466495147517760e+00,9.764615408402091967e-01,-6.511925290449205317e-01,-7.984712206828235015e-01
-1.540381238903987482e+00,-2.353821167204865339e-01,-9.216547564055334041e-01,-7.984712206828235015e-01
-7.398739610533702216e-01,7.702121321663922826e-01,-6.269342425172600430e-01,-6.098484877891686695e-01
-1.641441038904646765e+00,-8.284371459743091748e-01,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.481701242853168177e+00,-1.534766635245800259e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
nan,nan,nan,nan
-1.051580024369586974e+00,1.060865068160025348e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-1.363915050364947756e+00,-6.356186674369566081e-01,-1.103218559055642034e+00,-1.903480399112429666e-01
-1.414021370258144783e+00,-3.060488815170780419e-01,-8.143077036446353389e-01,-1.775403480868280870e-01
-1.006867972901186237e+00,-8.877127332474173960e-01,-7.400378480418250415e-01,-3.879636093201450642e-01
-1.152757037306154864e+00,-3.607396611538860043e-01,1.051314389031317464e+00,6.456987860387509714e-01
-1.047368582405922011e+00,-5.854604109617846941e-01,2.321898172531140087e-02,-2.937276956384511917e-01
5.292080488377297609e-01,-4.500869468677245328e-02,5.079524752359353412e-01,-2.614546195135825646e-01
-8.001126054115058617e-01,4.052618285222776562e-01,2.838552939932787456e-01,-7.984712206828235015e-01
-7.375964513464174921e-01,-1.631820970669466964e-01,-4.624113960023931713e-01,-7.984712206828235015e-01
-1.319612070847066443e+00,-8.042667982189883880e-01,-9.226201020261586283e-01,-7.984712206828235015e-01
nan,nan,nan,nan
-8.939011087407418010e-01,-1.534766635245800259e+00,-1.103218559055642034e+00,-7.984712206828235015e-01
-6.341306153587757954e-01,-8.118802166524656805e-01,-1.103218559055642034e+00,-6.151557801967292294e-01
7.972102299897366740e-01,-4.571511873158286554e-01,-8.773547491843026735e-01,-6.141378783944811959e-01
6.466775813856957544e-01,-1.322235752588200475e+00,-1.348327142218095909e-01,-3.045124851630703344e-01
