# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, PARACALANUS PARVUS
0.5602835690,-1.5347666352,2.6227996272,-1.2785158411
0.6951834967,-1.5347666352,1.4910184789,-0.3551958222
-0.1022936707,0.3165042256,0.1924288976,0.2715818675
0.3875333260,-1.5347666352,0.4862981787,0.5856595999
-1.0862633852,-0.9220881444,-0.7602462967,-0.1347547420
       nan,       nan,       nan,       nan
-0.9844968618,0.3935466350,-0.9232301517,0.2291190984
-0.9204585061,-0.3290320511,-0.7112549389,0.3902603264
-0.7284276334,0.0169174199,-0.4087124224,0.9466374797
0.0672278820,-0.1523245739,-0.5790613176,0.0737301392
0.7375959372,-0.5137163992,0.2629161302,-0.5887709733
0.7560076981,-1.1791632784,0.7740677116,-0.2572891409
0.7678488452,-1.1878619263,2.0088974008,-0.5623665938
0.9074477388,-0.2468067128,1.4816078364,-0.7277774247
-0.7857869742,0.7180940007,-0.0562875353,-1.1202207001
-0.3098582426,1.4712401501,2.7584987569,-1.2785158411
-0.2445221786,-0.4463366916,-0.8965730364,-0.9187155467
-1.3925686642,0.3291167634,-0.8642209781,0.5590644549
-1.3530621708,0.3191606267,-1.1032185591,-0.0142100941
-1.2042854831,0.6934131300,-0.6267749181,0.9655095167
-0.9849548445,-0.3653885744,0.7352279668,-1.2785158411
0.4326534914,-0.3648790531,0.7722565045,-1.2785158411
1.8219306031,-0.6398856585,1.1836857875,-0.9871672290
2.7939468295,0.5739438418,2.7364844851,-0.2329640164
1.9641896405,2.6853025569,2.0747547274,-1.2785158411
0.0614563752,1.2529375670,0.1071995046,-1.2785158411
-0.6189952475,3.5658614784,-0.5692840579,-1.2785158411
-0.5149077063,1.2286668802,-1.1032185591,-1.2785158411
0.0533072006,0.3752447218,-0.5298531708,-1.2785158411
       nan,       nan,       nan,       nan
1.7070164055,-0.0636606377,-0.8186403324,-1.2785158411
0.5425256500,-1.5347666352,-0.7140770549,-1.2785158411
1.3551238061,-0.8398979377,-0.5821551532,-1.2785158411
1.4625711214,0.1657688615,0.0238972539,-1.2785158411
2.5444225785,-1.5347666352,1.2405904484,-1.2785158411
1.5477251378,-1.5347666352,2.9097664548,-1.2785158411
1.1909537913,0.0247511075,2.7354581459,-1.2785158411
0.5471195649,3.1948282147,0.1899351509,-1.2785158411
0.3875908494,0.9692793792,1.1046570405,-1.2785158411
-0.5413205142,0.6447256680,-0.2860471377,-1.2785158411
-0.0575811220,-0.2259624283,-0.2946631438,-1.2785158411
0.0000894267,-0.6748314493,-0.6107120868,-1.2785158411
0.5708562161,-0.8128501991,-0.6752471425,-1.2785158411
-0.1134836406,-1.5347666352,-0.5533343440,-1.2785158411
0.4502931513,-1.1263226002,-0.4966101148,-1.2785158411
0.7203915532,0.1141640751,1.9168312658,-1.2785158411
0.7900115098,-1.5347666352,2.0161990669,-1.2785158411
2.6255500286,0.5078510339,1.4225540340,-1.2785158411
0.5775995181,-1.5347666352,1.4053228110,-1.2785158411
1.4111405186,0.2453204483,2.1874916372,-1.2785158411
0.9073098549,0.5400279039,0.9413085499,-1.2785158411
-0.9516046449,0.5882386957,-0.2834599861,-1.2785158411
-1.0326768832,-0.7286731955,-0.8946573376,-1.2785158411
-0.3236059851,-0.2121235434,-0.9130467920,-1.2785158411
-0.5081671620,-0.4002760144,-1.1032185591,-1.2785158411
1.1389367031,-0.1837770423,-0.5368947241,-1.2785158411
0.9751863632,-0.6780070895,-0.5953085323,-1.2785158411
