length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,12,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
96,24,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,36,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
96,48,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,60,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,72,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,84,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,96,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,108,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,120,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,132,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,144,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,156,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,168,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,180,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
96,192,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,204,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,216,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,228,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
96,240,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,252,-4.050640407043441,0.28237839459974506,22.707955992336352,22.707955992336352,nan
96,264,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,276,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,288,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,300,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,312,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
96,324,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
96,336,-11.45316270482956,0.06678306410273001,22.707951888605834,7.802598529758477,-0.023391022174148457
96,348,-10.749913160706992,0.07761092084346742,22.707956004409507,10.152897495209768,-0.023951247165532985
96,360,-9.968572404156376,0.09150891949396196,22.707955916600262,11.315672008795046,-0.024241544491217848
96,372,-9.432569510574208,0.10229971250603388,22.707955960494925,12.103348171374591,-0.024538964901843707
96,384,-9.466980456368482,0.1015743594617686,22.707955891734734,12.054720413794406,-0.024538964901843707
96,396,-9.960777118410368,0.0916582505904142,22.70795569518345,11.356092155299537,-0.024241544491217404
96,408,-10.795689786599112,0.07685970767955544,22.707956191178695,9.853815212858336,-0.023391022174148457
96,420,-11.069482121881798,0.07250428895828703,22.707954536067952,7.714904004930045,-0.02395124716553365
96,432,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,444,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352,nan
96,456,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,0,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
120,12,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,24,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
120,36,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
120,48,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352,nan
120,60,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,72,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,84,-4.050640407043441,0.2823783945997451,22.70795599233635,22.707955992336352,nan
120,96,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,108,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,120,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,132,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,144,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,156,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
120,168,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,180,-4.05064040704344,0.2823783945997451,22.707955992336352,22.70795599233636,nan
120,192,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,204,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,216,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,228,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,240,-4.050640407043441,0.2823783945997451,22.707955992336352,22.707955992336352,nan
120,252,-4.050640407043441,0.2823783945997451,22.70795599233635,22.707955992336352,nan
120,264,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,276,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636,nan
120,288,-4.05064040704344,0.2823783945997451,22.70795599233635,22.707955992336352,nan
