length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-11.501713845305364,0.06608970002821885,10.234237836972543,6.370174814372238,0.0071138561416844714
96,12,-10.075617572121951,0.08948032962775375,12.83661060705434,9.15863751513484,0.004822126400991111
96,24,-8.116183581257669,0.13367827889398606,21.33752018756661,10.356420387232554,-0.04377392246891998
96,36,-7.229676788324262,0.15913280889983175,22.27982476239162,11.951553042638098,0.0016839425967550836
96,48,-9.678458362309629,0.09721605444511289,22.250190341812207,9.615758243573591,-0.023391022174148457
96,60,-11.188500785481853,0.07068282292157489,22.477312771945215,9.009631670624739,-0.023667820069203538
96,72,-7.622421567939012,0.14740164596141217,22.314024428657135,12.735935594393895,-0.023120623596248002
96,84,-1.5456304440739574,0.4119537387405754,21.488885284701514,14.828679445728547,0.04809906073769776
96,96,1.1404014258681148,0.5652721595463638,22.638850103231356,15.273208233789557,0.04958374431833179
96,108,4.37709354982632,0.7326017337203421,22.624357253124977,13.918897558748489,0.07648382465810366
96,120,-4.6467734278478865,0.25541085801124375,18.801569678360803,13.699964636338528,0.12072070859567541
96,132,-2.066810161101972,0.3832205986589719,22.641660312525573,20.091264219771148,0.02867391058958979
96,144,-15.695477676742943,0.026236489714189733,0.024328445694669017,1.6761864619506754,-0.031868373761546165
96,156,-3.9879489179288266,0.28531273254295764,22.700341833755342,12.161412096974072,0.02719725135391249
96,168,-5.900467028618493,0.20446260736469365,22.68892062553288,11.265196890848108,0.014209854694681612
96,180,-8.131318671433213,0.13327520354949515,22.69027925070039,12.580411730266963,-0.023667820069203982
96,192,-7.140755687390984,0.16189169666261502,22.69335532773928,13.247772897517638,-0.023667820069204204
96,204,-9.349826835244563,0.10406266657219548,22.680625052164274,11.18753324130595,-0.02339102217414868
96,216,-13.38751852780405,0.0438311377430531,2.400642948563433,4.291204414269395,-0.044231975195119455
96,228,-15.931834575107786,0.024881353624382967,0.46016050644716605,2.2823560134041916,-0.049460432635163754
96,240,-16.32312746681311,0.022786453268239092,0.08011917505908976,1.6029387055651478,-0.045657205840212045
96,252,-17.97835190738377,0.015678402996542516,0.009566373916427773,0.33400316590883955,-0.10649279494358388
96,264,-17.744048143413615,0.016533123990488938,0.017733171627342195,0.46250301657646337,-0.08835869638265237
96,276,-17.982483861589394,0.01566372692164111,0.013380739942124744,0.3411425980046394,-0.08885770833953255
96,288,-18.444606898344514,0.014104900218600221,0.0011626173994546782,0.12465812957643774,-0.053090129859395985
96,300,-15.960133248295737,0.024723748893573275,1.8988298007593454e-05,1.3625438192755055,-0.046969582719876835
96,312,-12.867461230872406,0.04913303978990713,8.18689266998555,6.364729681818744,-0.04944787537462947
96,324,4.103992715240344,0.7201043435217542,22.655362079858428,18.13950573197206,0.07409998191807232
96,336,7.304185618603654,0.8431494642234546,21.65003163391953,15.214587251008773,-0.02190525483730532
96,348,0.44308003655284334,0.5254836367568271,22.701742181586564,12.226082832801149,0.054872110082733405
96,360,1.9487015686050613,0.610331320142496,22.694215134687568,12.275007527565997,0.07314696931327236
96,372,-5.579157872929226,0.21675997228769492,22.68939885251543,16.71008189319413,0.0022854947858779173
96,384,-6.566386517981668,0.18064755987013412,22.69675526176841,15.536043342347394,-0.02453896490184415
96,396,-6.5672942341337714,0.18061662561846517,22.738210198539733,16.85122782277685,-0.024241544491217626
96,408,-3.1655766301824526,0.3254359513911866,22.696687233471316,16.8059086039178,0.014981887609236466
96,420,-4.242558948591395,0.27351024537915647,22.68901334138962,19.03369536610746,0.002456751198074092
96,432,-6.108481658148083,0.1967819622771263,22.688968703211735,18.041068438864798,-0.0272096420745076
96,444,-8.832904619618823,0.11569429991767469,22.67718246186727,15.604499240936054,-0.027209642074507157
96,456,-10.033281755802022,0.09027773386145552,22.26298056860916,12.24489457370797,-0.027209642074506935
120,0,-3.6908181393389015,0.2994659433421232,20.144853069202423,10.796761322639844,-0.0189578394848533
120,12,-1.1160969303440254,0.4361035757686439,22.141240051028703,13.289922332504272,0.04598161203557516
120,24,-4.726692729690311,0.2519269965954641,22.20612956605229,11.733767006310448,0.01989269837257812
120,36,-8.428212287034807,0.12557453229119447,22.32265596173116,10.78430518463892,-0.007158729147692222
120,48,-6.395063842555885,0.18656021217495655,22.104238338247708,15.483538327502156,0.025161226117818014
120,60,-2.3157312297369903,0.36976692865224786,22.251534733508397,16.576919262952362,0.025386893268378063
120,72,-1.2369899610644468,0.4292706583431197,22.184368098106766,15.720828907578861,0.032739712006223165
120,84,1.9021327022208605,0.6077781341651448,21.576551264401413,16.636161178199607,0.07956499864958011
120,96,5.196530386867572,0.7679096487383011,22.67987345072568,17.79141717671379,0.06093322614841967
120,108,3.197167237859748,0.6761588601413347,22.609572842600464,19.639153493854238,0.05536747789396146
120,120,-2.605176566471794,0.3543747924236715,21.16021583111744,17.7807036748502,0.08734437625001845
120,132,-5.972566524653483,0.20177548845698778,22.69016060897895,15.509645812557164,0.0005556593148323685
120,144,-11.066250838238803,0.07255433900839822,0.43908734694324714,3.6633734153816695,0.031119337014469117
