length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,12,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,24,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,36,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,48,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,60,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,72,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,84,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,96,-9.262919017587274,0.10594322667702158,22.702089481737616,11.137018206282246
96,108,-12.909154564984686,0.04868646250722059,22.70771324301901,5.090141190082975
96,120,-11.66346805504652,0.0638276705839372,22.695438084443175,8.276281684576972
96,132,-11.502861905546702,0.06607338568868976,22.69129805021091,8.139901880010573
96,144,-11.257991873084656,0.0696389676854033,22.693389627740356,8.658535334064629
96,156,-11.386924132666012,0.0677399192961708,22.70567169160002,8.863613131505053
96,168,-12.62681116821591,0.051787456249519026,22.70845243137537,7.144601747807977
96,180,-11.828193562319832,0.061598393573746454,22.7093128859461,5.673899777830609
96,192,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,204,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,216,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,228,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,240,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,252,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,264,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
96,276,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,288,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
96,300,-4.0506404070434385,0.28237839459974523,22.707955992336352,22.707955992336352
