# evidence, significance_level, bayes factor error
-4.2719,-1.6741,3.7977
-2.3924,-0.7347,32.5986
-2.6280,-0.8315,1.8704
-2.9045,-0.9519,10.0141
-3.9668,-1.4928,4.7726
-5.2129,-2.3212,31.4895
-2.3572,-0.7208,3.6092
-5.1293,-2.2579,110.1692
-2.4235,-0.7472,6.5481
-3.3269,-1.1512,8.1713
-5.2512,-2.3506,13.1270
0.0313,0.0072,5.6558
-4.5720,-1.8655,25.1792
-4.1019,-1.5715,4.8098
-4.4328,-1.7751,8.9599
-4.6173,-1.8956,70.4392
-5.2036,-2.3141,77.7209
-1.1082,-0.2907,7.2817
-3.6694,-1.3278,65.0967
-4.8605,-2.0623,12.7230
-3.8595,-1.4319,10.7615
-3.1120,-1.0474,2.6535
-0.0168,-0.0039,6.2132
-3.8689,-1.4372,3.1229
-2.4415,-0.7545,34.8808
-2.7963,-0.9038,9.2144
-4.4618,-1.7937,82.2832
0.1260,0.0286,1.2613
-4.2523,-1.6621,48.1835
0.3664,0.0809,7.7458
-0.9922,-0.2567,116.5628
-4.5197,-1.8312,187.4447
-1.7522,-0.4970,0.8338
-3.5554,-1.2674,20.7953
-6.0645,-3.0406,21.7632
-2.2805,-0.6906,35.9735
-1.4873,-0.4084,21.0661
0.1330,0.0302,0.3967
-4.6534,-1.9197,767.2829
0.3554,0.0786,125.3554
-4.1750,-1.6152,73.1949
-1.3080,-0.3515,3.1993
-2.8609,-0.9324,17.5397
-3.8079,-1.4032,38.1853
-4.4864,-1.8096,36.1059
-3.0944,-1.0391,2.8525
-2.6546,-0.8427,242.7321
-3.3049,-1.1404,4.0547
-4.6018,-1.8852,23.1318
-1.0245,-0.2660,19.4354
