# evidence, significance_level, bayes factor error
-4.1168,-1.5804,1.4606
-2.3740,-0.7274,31.0172
-4.8369,-2.0458,7.8479
-4.0932,-1.5664,0.8191
-3.2576,-1.1172,6.8471
-3.7596,-1.3766,1.5371
-3.4889,-1.2330,7.1135
-3.2463,-1.1117,1.2188
-3.6186,-1.3007,37.2679
-1.8828,-0.5427,4.8484
-2.1000,-0.6218,27.5702
-4.3028,-1.6933,38.5730
-4.2945,-1.6881,28.5845
-4.0537,-1.5431,26.7741
-3.5874,-1.2842,2.1975
1.8434,0.3459,30.4902
-4.2204,-1.6426,11.4080
-2.1291,-0.6327,5.2276
-5.4507,-2.5081,25.1229
-3.0153,-1.0023,1.1635
-0.6798,-0.1695,6.9985
-2.7747,-0.8944,1.9087
-1.8138,-0.5184,32.4395
1.0262,0.2105,38.7641
-0.2478,-0.0587,16.2276
-5.1436,-2.2686,72.8470
-4.2797,-1.6790,53.2652
-2.6640,-0.8467,1.6329
-5.0391,-2.1909,4.0115
-4.4480,-1.7849,3.7715
-4.2878,-1.6840,24.0425
-4.7477,-1.9838,4.8528
0.4314,0.0945,13.1987
-4.7055,-1.9549,8.2800
-5.3865,-2.4566,3.0352
-1.8821,-0.5424,2.8291
-4.1679,-1.6109,12.1705
-1.9069,-0.5513,44.8693
-3.0705,-1.0279,5.1896
-3.2036,-1.0910,2.1219
-4.5578,-1.8561,34.3656
-4.9821,-2.1492,1.1651
-3.3389,-1.1572,8.1908
-1.3294,-0.3581,25.6264
-4.7840,-2.0089,4.8298
-4.0187,-1.5227,5.9934
-3.9592,-1.4884,2.2828
-2.6706,-0.8495,8.3165
-3.5909,-1.2861,2.5579
-2.8056,-0.9079,37.3868
