length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-8.191020501921546,0.1316952540957951,25.987387304328745,17.952118349834286
96,12,-11.156655652335001,0.0711659973915643,25.659634757137283,12.369456888236734
96,24,-6.857901837703078,0.1709243628203048,22.656782176434895,17.41853065951891
96,36,-6.048054259834177,0.19899046242303367,22.57451741286848,18.00216139284343
96,48,-5.861243938991336,0.20593556331846682,22.584212174802378,16.456828570939614
96,60,-5.569498548133226,0.21713781401413332,22.59902567236914,18.997489482369176
96,72,-5.0641953670035,0.2375653464431954,22.648953900981127,17.661059139459724
96,84,-5.486346321552674,0.22041013173461482,22.6656715182072,16.559560342559926
96,96,-14.301112252502024,0.03581374291692871,1.7653287667554758,2.8839019642571504
96,108,-16.526100169336438,0.021768653095150626,0.7521167263780932,1.7434011703737327
96,120,-14.554442713964127,0.03385313383142671,3.8287050166234757,4.123073138558823
96,132,-9.355954325858173,0.10393119607265536,2.0715506585471943,10.67898915929657
96,144,-10.576398618770446,0.08051977140290553,3.935999989338449,11.943089468693826
96,156,-7.042615225168811,0.16498128654728397,19.561521781929002,16.713585503317987
96,168,-6.921648241193897,0.1688543689929046,21.017810390354068,17.674918150226407
96,180,-5.391043762742321,0.22420392119901078,21.241635220584183,19.432550232445493
96,192,-5.219170481569858,0.23116255198587832,22.176165905584227,21.00656157951837
96,204,-11.230816209621231,0.07004547594317515,11.14311135089164,11.91946794274004
96,216,-14.061299159360328,0.03777016672062189,7.447998502605602,7.191683919142037
96,228,-18.31362123738614,0.01453051665070991,0.00022370270181429987,0.15805597213383338
96,240,-18.30402918253242,0.014562177117752876,0.0006158006419824005,0.1670710772905597
96,252,-17.46575527863323,0.0176079705168096,0.043212394497501846,0.5115528247737327
96,264,-13.835078791635631,0.03970952938023981,3.6896522970524845,3.91509166516863
96,276,-12.189605193075128,0.056959952286628805,8.06035248610991,6.732976126687561
96,288,-18.248108140816427,0.014748113158181338,2.6994634778648714,0.525435445626813
96,300,-10.6213349655075,0.0797570365193079,22.65914866717356,10.40408534205358
96,312,-10.53452883326321,0.08123643920205036,22.664126350187072,10.83320394983117
96,324,-8.945156803914347,0.11307606683645058,20.26394536567225,11.298702991939509
96,336,-9.239743152833153,0.10644975428304088,19.500455484736573,10.609237458788137
96,348,-9.368360969306377,0.10366545060422398,20.25008884450422,10.973797066843286
96,360,-9.782104832735222,0.09514153823834302,22.47808164674072,12.933149762107076
96,372,-8.444202251807537,0.1251708043749113,22.67391951830627,15.666194063813302
96,384,-7.470216526515245,0.1518607407451617,22.690111885951517,17.944508843757063
96,396,-10.49386548650447,0.08193801798142904,22.718817108674457,10.383380892378895
96,408,-9.280414239039738,0.10556226264401791,22.47157685874552,14.80690585368958
96,420,-7.9898012684103525,0.13708444302576941,22.64296800407666,15.312798300329046
96,432,-8.642236958064462,0.12026230055289978,22.65258355661254,14.566268097341858
