3.114421501027792027e-01,7.219405747189658884e-01,6.695385243625252558e-01
2.581140234240192344e-01,5.480584420671061885e-01,6.016491366306265798e-01
1.181938440004225432e-01,4.830861699286515543e-01,4.769488072887796415e-01
1.666459585172670732e-01,3.195386085220486283e-01,4.002243518490687935e-01
1.151211923221655276e-01,2.639283175788404434e-01,4.342553364931711068e-01
3.222403206512378104e-02,3.728390665941329063e-01,3.635233048337691564e-01
8.888464895437829527e-02,6.070821876360934372e-02,2.438327145708566734e-01
1.397432636434040552e-03,3.668704697118374547e-01,2.625601162221206653e-01
3.229618453484413287e-02,2.694610195223670623e-01,2.696220323567907751e-01
3.490526739117422866e-02,3.582047766318705584e-01,1.812620554099645676e-01
2.543231175228546567e-02,3.711102130590056558e-01,2.690136738852775822e-01
