evidence,significance_level,evidence_linear,significance_level_linear,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_s,prediction_skill_ns
-22.23572326157557,-166.3294278826408,-17.167699904788766,-51.09187508721843,3.7700871966113185,0.19220962114989557,0.9392087554539995,0.9392087554539995
-19.89086914965862,-96.51847810470046,-11.239248792152702,-12.30224306519705,3.6268237098723652,0.5271908991691171,0.9381078178079579,0.9381078178079579
-23.27653381229827,-211.6441214947764,-11.510804716059774,-13.160561405440024,3.81816101588819,0.076904544629388,0.9338287254415987,0.9338287254415987
-23.04631836286234,-200.66560624752606,-19.885829873588598,-96.40538950787763,3.706943288210036,0.10106310363909812,0.9278319494905795,0.9278319494905795
-22.489186836379282,-176.38573165763077,-14.472382946217717,-27.005175243079794,3.673195594132427,0.18124448179718075,0.9081266908113605,0.9081266908113605
-22.120485093268076,-161.9478030042892,-17.00066760883059,-49.12642833609838,3.6324174767161703,0.22097739404004216,0.9290825715062554,0.9290825715062554
-22.045135875694875,-159.14507514054827,-15.581318159857734,-35.15195735149646,3.4775091498911666,0.22769603461466437,0.921893328400265,0.921893328400265
-23.632336903846127,-229.7988764930234,-13.09221357808127,-19.380806128986574,3.7109704238467596,0.03839926582080827,0.9354346257675852,0.9354346257675852
-22.18518176987635,-164.39340071771355,-18.324588469813627,-66.9921613715896,3.5380774789476686,0.2083823865100346,0.9260848966261966,0.9260848966261966
-22.763876120992755,-187.96771521423221,-17.662520306471162,-57.37837885734528,3.6515650383659364,0.13028259349806728,0.9374120152682758,0.9374120152682758
-23.26107724360444,-210.88866482635197,-15.48271961225593,-34.34044072531379,3.607403898490635,0.07979312130886172,0.9301245657164254,0.9301245657164254
-22.079973743259625,-160.43487967058465,-17.462007513775873,-54.74433659817169,3.729175615443539,0.20916205985110575,0.9360290015970096,0.9360290015970096
-22.637694740827776,-182.55637573009923,-12.598158591744198,-17.18929469137616,3.6770160753225785,0.16717298631578462,0.9356564166693826,0.9356564166693826
-22.628774811787686,-182.17975810351518,-17.373336196510113,-53.61772666023857,3.6131644313191766,0.14649918477949167,0.9233191831773717,0.9233191831773717
-23.503468991410706,-223.0510064561132,-17.333787329928576,-53.122610151458716,3.705523104474777,0.0516295394511487,0.9295418637244551,0.9295418637244551
-23.307408087175425,-213.1612084170148,-17.90283283142023,-60.699732783303205,3.6939744208180385,0.07182185095678874,0.9312386536282763,0.9312386536282763
-22.906526597645495,-194.27770381680452,-16.491550746611708,-43.58154084483678,3.5610546715470224,0.11774289283223414,0.9322863807521446,0.9322863807521446
-22.75547177133181,-187.6023835931966,-16.018611417437604,-38.98168946869062,3.633008150514024,0.13046781415216857,0.9376043983369675,0.9376043983369675
-22.822908505379754,-190.55383471208012,-17.728307821983844,-58.26943431151858,3.6444864612169705,0.12670637359552975,0.924010424944284,0.924010424944284
-22.483976317097532,-176.17303783347197,-16.020355626843564,-38.99775010205351,3.673565113924965,0.16983486098534517,0.9350059192784526,0.9350059192784526
-21.469897076100626,-139.27804595285247,-15.28025546780941,-32.730714970862316,3.559608169501474,0.2938056658484621,0.9091154635526824,0.9091154635526824
-20.094144013000577,-101.19141232225519,1.2434521222323334,0.24897431899004852,3.6294855365839553,0.4952798739327214,0.9206198420263876,0.9206198420263876
-22.532921141879264,-178.18106524989778,-1.8314883807206461,-0.5245751549730489,3.61410535940095,0.18032084337558968,0.9431007195201168,0.9431007195201168
-21.241293751660358,-132.0850815835188,-14.787081223341115,-29.109817440073417,3.661952853453268,0.31384300875219995,0.9266787562441476,0.9266787562441476
-21.630342863889492,-144.55739897233428,-18.2786607659162,-66.27691624374717,3.552706376514044,0.3717680860252302,0.9278041318549717,0.9278041318549717
-22.715194055450297,-185.8613170480869,-14.86012701162758,-29.620529836763264,3.5216095131317333,0.14180249443540138,0.9150273704975689,0.9150273704975689
-22.005762549921556,-157.69975452449594,-16.06773712686936,-39.43651440401612,3.798574297813699,0.2246936448357147,0.9279946333535737,0.9279946333535737
-22.46366180623802,-175.3462304229452,-17.55031906539913,-55.889472459494286,3.735897366319943,0.1700011780346382,0.9318958647211006,0.9318958647211006
-22.23984695852502,-166.48838535837245,-20.48107844452042,-110.71406228475821,3.700031920474621,0.20178747181049522,0.9274880967653223,0.9274880967653223
-23.022771737236116,-199.5751721970673,-16.6176050130102,-44.89448504956047,3.7611767522442,0.09979483020549491,0.9462788061701324,0.9462788061701324
-21.64997020588787,-145.21671434470977,-14.137562604520236,-24.92723836593453,3.5981246478703026,0.29794783467450603,0.9321226681823055,0.9321226681823055
-23.309870041403503,-213.28264780653382,-15.490652071614202,-34.405049601798275,3.7856393487538997,0.07134848827862364,0.9322039391264794,0.9322039391264794
-20.03952772235014,-99.91431398825229,-14.339883813116314,-26.16366596860797,3.593146667836832,0.4738297232277713,0.9243147834737325,0.9243147834737325
-23.213249388488002,-208.56798557185542,-16.84114214515277,-47.318585772366504,3.587444796945235,0.08180370955407441,0.9250207222713814,0.9250207222713814
-20.083274834445007,-100.93597552062518,-16.398761838387482,-42.6391400516462,3.6571178500500077,0.4808073006086191,0.9197775520321636,0.9197775520321636
-21.588257555456973,-143.15368726097662,-16.352902069400027,-42.180752553320744,3.6984796591907605,0.28385850039126337,0.9348352009043602,0.9348352009043602
-17.246770662192358,-52.04898345742346,-16.604706896643542,-44.75838517196533,3.4135544940854397,0.8510620646644185,0.9173907785365454,0.9183309485822604
-21.703369167848802,-147.0256295436236,-20.724735038945873,-117.16082209747842,3.647562109876838,0.2544342074885775,0.9280443665814475,0.9280443665814475
-23.445243133389422,-220.06720140621923,-17.246351719212875,-52.04386632418706,3.5689338689063836,0.057748088491051085,0.9174628268237394,0.9174628268237394
-23.393279100398118,-217.4378584244396,-14.128598164442629,-24.8737761478956,3.55887805594778,0.06327331214290803,0.9298744072975457,0.9298744072975457
