-14.036923115418894,-24.333331815575043,nan,-14.036491331377759,-24.330813251537133,nan,2.5588677738409062,2.5614428708919884e-06
-14.036923295398305,-24.333332865433707,nan,-14.036754003558624,-24.332345368903905,nan,7.3937510017898145,2.0455167134089168e-07
-14.036916552064625,-24.333293530145962,nan,-14.03640160100502,-24.330289892404362,nan,0.15009151844048926,1.4671350926322334e-05
-14.036923367718417,-24.333333287292508,nan,-14.036841535720072,-24.33285594810375,nan,6.6116671561213645,2.5560015597285458e-08
-14.036923375492092,-24.33333333263803,nan,-14.036918706499147,-24.33330609741033,nan,7.076585533208092,6.689624984738129e-09
-14.036923375507882,-24.333333332730135,nan,-14.036469378998856,-24.330685211640652,nan,7.894186053404626,1.179527609521677e-09
-14.036738295632283,-24.33225374492246,nan,-14.036734108442797,-24.332229321196206,nan,0.006054254155296733,3.186293616228134e-05
-14.036461524009678,-24.330639396626527,nan,-14.036417936122124,-24.330385167395658,nan,0.010232777061487923,1.618555071863148e-05
-14.03692337554048,-24.333333332920287,nan,-14.036781660228817,-24.332506690445175,nan,7.880447993379965,5.384857291958508e-10
-14.036846948358342,-24.33288752061427,nan,-14.036732686307298,-24.33222102593615,nan,0.007737466984931686,5.944915550993107e-06
-14.036923309979347,-24.333332950488074,nan,-14.036809797314652,-24.33267081530834,nan,1.4358530923665636,6.006265805894658e-07
-14.036861243351908,-24.33297090506312,nan,-14.036596781549427,-24.331428311397694,nan,0.17116160008347917,5.431615552001575e-06
-14.036923299184373,-24.333332887518665,nan,-14.036458937735372,-24.33062431193974,nan,7.8572575085657235,1.4985461436559077e-07
-14.036854396818192,-24.332930968358898,nan,-14.036854395252767,-24.33293095922758,nan,6.48317403697834e-07,1.4996042265575066e-06
-14.03681646649439,-24.33270971708391,nan,-14.036768799018324,-24.332431670791003,nan,0.6923114203748248,5.617760503510687e-05
-14.036923375611284,-24.3333333333333,nan,-14.036530751417455,-24.331043175295626,nan,7.89473681289741,4.316943658287195e-14
-14.03692337561129,-24.33333333333334,nan,-14.036491261354113,-24.330812843114753,nan,7.894736842105264,1.299418704768379e-23
-14.03692337561129,-24.33333333333334,nan,-14.036840724001628,-24.332851213264753,nan,7.894736842105262,4.379515662039915e-25
-14.036923255071105,-24.333332630196466,nan,-14.03658470560049,-24.33135787517936,nan,7.843780692303353,2.515971737522123e-07
-14.036923375606676,-24.333333333306424,nan,-14.03676091584269,-24.33238568820656,nan,7.894583001499786,2.0100137603125962e-10
-14.036847435173383,-24.332890360261537,nan,-14.036847315474905,-24.332889662046732,nan,1.965348631460716e-08,1.3978445317759964e-06
-14.036923349421105,-24.33333318056034,nan,-14.036741567594307,-24.33227283017611,nan,3.9824993690102444,1.2101985245726839e-06
-14.036906475042763,-24.333234748865703,nan,-14.036905440829738,-24.333228716102386,nan,0.06087228500644745,5.2049756335753e-06
-14.036923375092103,-24.333333330304807,nan,-14.036790720274793,-24.332559537977037,nan,7.894194561875864,1.015080570150596e-09
-14.036923347500103,-24.333333169354727,nan,-14.036703079160493,-24.33204832923805,nan,7.881519069992316,5.6310160428545345e-08
-14.036923375610826,-24.333333333330632,nan,-14.036828559705656,-24.332780257753857,nan,7.893498086769155,4.4861765808255136e-10
