evidence,significance_level,evidence_linear,significance_level_linear,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_s,prediction_skill_ns
-26.93344571997389,-492.5652464459529,-22.01296726188801,-157.96324738494394,3.0714904419179514,0.018330977762042962,0.6603713366162434,0.6603713366162434
-27.016823841926726,-502.1325145670144,-22.617331483770116,-181.69772876069453,2.6299439617566245,0.014647676339316884,0.6453795565187072,0.6453795565187072
-26.865036278157568,-484.85158941109336,-21.91050915485109,-154.25690181907706,3.2771949399787315,0.021516490980006818,0.7749259832227225,0.7749259832227225
-26.831156816360014,-481.0761896217757,-22.229156404299985,-166.0766044690759,3.027635629998117,0.023256203899133403,0.740442237962354,0.740442237962354
-27.31018432257418,-537.2926281617018,-22.94022014691681,-195.79860457704768,3.441893398213855,0.0015622743208572665,0.7367102351348466,0.7367102351348466
-26.91088704694456,-490.00815437947017,-22.155316924969043,-163.25995234607728,3.113920233801072,0.019433403148532206,0.6609619718429907,0.6609619718429907
-27.216561461257285,-525.8125909104742,-21.643198115379207,-144.98889169294736,3.0714081351413975,0.00559471067671677,0.7118811146358902,0.7118811146358902
-27.257000332167394,-530.7408594970055,-22.66109859931443,-183.54821967115438,3.1832073738192865,0.0038770106656013494,0.7769426596330723,0.7769426596330723
-26.921615313322622,-491.2225787264672,-20.86816480258954,-121.12834735725158,3.048553691569243,0.018762609791274202,0.7563488390227654,0.7563488390227654
-25.629822300306028,-364.5798329258268,-20.213311306931207,-104.03429643498127,2.945842896642948,0.08579602502572371,0.669245695423715,0.669245695423715
-27.234021524862055,-527.934813592664,-22.674921662254768,-184.13654990982909,3.0317802911320904,0.004857961253814497,0.7301882812394058,0.7301882812394058
-27.208721142731704,-524.8623940638084,-22.80150875554658,-189.61227972610092,2.86903329593508,0.005965439617957632,0.7182416388920918,0.7182416388920918
-27.076513843225648,-509.0953732287906,-22.586847263935613,-180.41981777827883,2.7137665175935872,0.011949076530834168,0.5835650310900571,0.5835650310900571
-26.263141990133136,-421.97451295378596,-23.108028997595518,-203.551608885833,2.626660739832143,0.05130059725721987,0.6186323638962101,0.6186323638962101
-27.21141848156106,-525.1891008693046,-22.518073772385065,-177.56953891756459,2.7808724258053257,0.005838839038380908,0.7416264076529524,0.7416264076529524
-27.26078122125056,-531.2039850214233,-22.939794793796548,-195.7793308342607,2.9507147695141964,0.0036923757988875485,0.7137254994892498,0.7137254994892498
-27.09825312905449,-511.6551362650097,-22.527522361345596,-177.9584609417711,3.0032196170164838,0.010840583471189944,0.7987557570746759,0.7987557570746759
-24.440490315643693,-277.00271132943357,-23.189839275030394,-207.44137410776628,3.1408700298819996,0.15779876430531792,0.7332447915184508,0.7332447915184508
-27.204539145746892,-524.3562636499506,-22.053842089293276,-159.46643673803987,3.0318332251329645,0.00615851552778414,0.7388467997800887,0.7388467997800887
-27.20722958351164,-524.6818206834467,-22.99207668407201,-198.16254551966824,2.9199658757060334,0.006042343846774604,0.6472494583256418,0.6472494583256418
-27.217784404596756,-525.9609585951742,-22.34252033142127,-170.4952253175945,3.292332206237398,0.005572041088146392,0.7654280913148603,0.7654280913148603
