# evidence, significance_level, bayes factor error, linear evidence, linear significance_level, linear bayes factor error, posterior weighted theta, posterior weighted delta
591.5048,1.0000,nan,591.5048,1.0000,nan,0.0000,70.2929
639.4358,1.0000,nan,639.4358,1.0000,nan,0.0000,85.8684
670.3519648474501,1.0,nan,670.3519648474501,1.0,nan,7.131829775881566e-73,100.73417688000431
653.6614144791548,1.0,nan,653.6614144791548,1.0,nan,7.479316449625401e-64,81.48490699407031
641.8277844833956,1.0,nan,641.8277844833956,1.0,nan,2.4865921425318823e-60,105.63938756673458
639.9830879939029,1.0,nan,639.9830879939029,1.0,nan,6.865946265068547e-61,93.35267155631614
655.6146096940313,1.0,nan,655.6146096940313,1.0,nan,2.24709580365304e-70,127.51516021592685
669.8371976776299,1.0,nan,669.8371976776299,1.0,nan,1.1362690865645936e-61,95.87212132090849
659.4132578442932,1.0,nan,659.4132578442932,1.0,nan,4.213419599570054e-64,109.64993216989696
645.6223387373972,1.0,nan,645.6223387373983,1.0,nan,5.157712891007347e-60,124.41339739541955
629.1954335802966,1.0,nan,629.1954335802966,1.0,nan,2.364571186094404e-73,92.62532667773324
627.8622063449542,1.0,nan,627.8622063449542,1.0,nan,2.854039263441689e-63,85.42541781791111
639.5181832610281,1.0,nan,639.5181832610281,1.0,nan,3.7338653012550736e-63,109.52640839670731
669.7051717103102,1.0,nan,669.7051717103102,1.0,nan,3.3627900469976874e-71,94.41600456408622
642.2582852465029,1.0,nan,642.2582852465029,1.0,nan,1.2828091982394867e-63,80.95751455282384
634.5318365366016,1.0,nan,634.5318365366016,1.0,nan,8.09381063084592e-65,84.66996183168884
683.0716878078958,1.0,nan,683.0716878080507,1.0,nan,1.1498655827645256e-55,91.72299503441339
656.3894215572485,1.0,nan,656.3894215572502,1.0,nan,8.485218231404733e-61,95.73662346734461
716.6593076793251,1.0,nan,716.6593079978541,1.0,nan,1.303550004474613e-58,96.68651402765272
611.2007111456977,1.0,nan,611.2007111456977,1.0,nan,4.199480284960383e-64,114.45496402544748
649.9842440854246,1.0,nan,649.9842440854246,1.0,nan,2.8233603790845382e-64,80.31871470422948
619.4499726267702,1.0,nan,619.4499726267702,1.0,nan,1.325569690364281e-60,85.16898679113395
659.186229373301,1.0,nan,659.186229373301,1.0,nan,1.2403466283397685e-73,102.48959207060027
685.6869899281235,1.0,nan,685.6869899281274,1.0,nan,3.564911338495413e-68,84.56711839841994
591.8870690596572,1.0,nan,591.8870691706065,1.0,nan,5.0575100003146336e-51,91.06642430619608
677.7456188553646,1.0,nan,677.7456188553646,1.0,nan,3.4817392633582984e-64,91.05009428823705
598.0996969347358,1.0,nan,598.0996969347358,1.0,nan,9.112019856065924e-62,81.67103077250579
667.683245311815,1.0,nan,667.6832453118153,1.0,nan,4.590532407990467e-57,123.61388742859539
704.5331125092168,1.0,nan,704.5331125092168,1.0,nan,1.1211466683354995e-75,120.99809074055413
690.3373377122592,1.0,nan,690.3373377122592,1.0,nan,1.5831202173024053e-65,116.80815824629609
653.3193086797717,1.0,nan,653.3193086799347,1.0,nan,1.9109420001188593e-57,87.58511906408285
600.969349057551,1.0,nan,600.969349057551,1.0,nan,9.710346972276636e-67,75.52082413761886
676.9356580779089,1.0,nan,676.9356580779089,1.0,nan,6.957947961101758e-66,90.80764162601677
680.1371395671446,1.0,nan,680.1371395671446,1.0,nan,5.531231612526792e-69,94.94991706569884
620.2999412419732,1.0,nan,620.2999412419732,1.0,nan,1.5790721025290796e-67,111.36550733681663
686.1676302223851,1.0,nan,686.1676302223851,1.0,nan,4.2791026486010146e-67,102.694840541331
665.8696726236825,1.0,nan,665.8696726236826,1.0,nan,4.100624782795391e-58,111.968868173421
653.2277670554861,1.0,nan,653.2277670555738,1.0,nan,1.7544203280693858e-64,108.48231829385143
660.6298857896568,1.0,nan,660.6298857896568,1.0,nan,1.984030493620341e-66,113.82446778742627
642.5275192170404,1.0,nan,642.5275192170499,1.0,nan,2.1510668718884252e-60,84.77509172408821
630.3560461754414,1.0,nan,630.3560461754414,1.0,nan,4.051439859406178e-62,114.42291289710361
615.5249005416734,1.0,nan,615.5249005416736,1.0,nan,4.031254933087627e-49,112.50302224368448
661.8125551137757,1.0,nan,661.8125551137757,1.0,nan,3.011876167422682e-64,86.94914825604499
574.612013052096,1.0,nan,574.612013052096,1.0,nan,2.1580146980244573e-66,87.86969047309493
646.6856404637147,1.0,nan,646.6856404637238,1.0,nan,1.7999577838843662e-64,109.44535515129625
704.4177375349523,1.0,nan,704.4177375349523,1.0,nan,1.1325220752035714e-71,93.00241068921127
643.6176698431007,1.0,nan,643.6176698431007,1.0,nan,9.531107428945636e-67,112.58672679856258
642.3917496644611,1.0,nan,642.3917496644611,1.0,nan,1.2701611375796652e-68,104.64423268846143
643.5565084193895,1.0,nan,643.5565084193895,1.0,nan,9.401260462476886e-67,92.97082596284947
637.7020195032303,1.0,nan,637.7020200173331,1.0,nan,2.1922179030008012e-57,105.98570277779642
701.246062074025,1.0,nan,701.246062074025,1.0,nan,7.297883843850425e-73,105.87894192931543
675.1388409616601,1.0,nan,675.1388409616601,1.0,nan,2.7733684834657184e-65,102.87180026971393
